ability_identifier,language_identifier,name
flower-veil,jp-kanji,フラワーベール
flower-veil,en,Flower Veil
flower-veil,fr,Flora-Voile
flower-veil,it,Fiorvelo
flower-veil,de,Blütenhülle
flower-veil,es,Velo Flor
flower-veil,ko,플라워베일
flower-veil,zh-simp,花幕
flower-veil,zh-trad,花幕
fluffy,jp-kana,もふもふ
fluffy,jp-kanji,もふもふ
fluffy,en,Fluffy
fluffy,fr,Boule de Poils
fluffy,it,Morbidone
fluffy,de,Flauschigkeit
fluffy,es,Peluche
fluffy,ko,복슬복슬
fluffy,zh-simp,毛茸茸
fluffy,zh-trad,毛茸茸
forecast,jp-kana,てんきや
forecast,jp-kanji,てんきや
forecast,en,Forecast
forecast,fr,Météo
forecast,it,Previsioni
forecast,de,Prognose
forecast,es,Predicción
forecast,ko,기분파
forecast,zh-simp,阴晴不定
forecast,zh-trad,陰晴不定
forewarn,jp-kana,よちむ
forewarn,jp-kanji,よちむ
forewarn,en,Forewarn
forewarn,fr,Prédiction
forewarn,it,Premonizione
forewarn,de,Vorwarnung
forewarn,es,Alerta
forewarn,ko,예지몽
forewarn,zh-simp,预知梦
forewarn,zh-trad,預知夢
friend-guard,jp-kana,フレンドガード
friend-guard,jp-kanji,フレンドガード
friend-guard,en,Friend Guard
friend-guard,fr,Garde-Ami
friend-guard,it,Amicoscudo
friend-guard,de,Freundeshut
friend-guard,es,Compiescolta
friend-guard,ko,프렌드가드
friend-guard,zh-simp,友情防守
friend-guard,zh-trad,友情防守
frisk,jp-kana,おみとおし
frisk,jp-kanji,おみとおし
frisk,en,Frisk
frisk,fr,Fouille
frisk,it,Indagine
frisk,de,Schnüffler
frisk,es,Cacheo
frisk,ko,통찰
frisk,zh-simp,察觉
frisk,zh-trad,察覺
full-metal-body,jp-kana,メタルプロテクト
full-metal-body,jp-kanji,メタルプロテクト
full-metal-body,en,Full Metal Body
full-metal-body,fr,Métallo-Garde
full-metal-body,it,Metalprotezione
full-metal-body,de,Metallprotektor
full-metal-body,es,Guardia Metálica
full-metal-body,ko,메탈프로텍트
full-metal-body,zh-simp,金属防护
full-metal-body,zh-trad,金屬防護
fur-coat,jp-kana,ファーコート
fur-coat,jp-kanji,ファーコート
fur-coat,en,Fur Coat
fur-coat,fr,Toison Épaisse
fur-coat,it,Foltopelo
fur-coat,de,Fellkleid
fur-coat,es,Pelaje Recio
fur-coat,ko,퍼코트
fur-coat,zh-simp,毛皮大衣
fur-coat,zh-trad,毛皮大衣
gale-wings,jp-kana,はやてのつばさ
gale-wings,jp-kanji,はやてのつばさ
gale-wings,en,Gale Wings
gale-wings,fr,Ailes Bourrasque
gale-wings,it,Aliraffica
gale-wings,de,Orkanschwingen
gale-wings,es,Alas Vendaval
gale-wings,ko,질풍날개
gale-wings,zh-simp,疾风之翼
gale-wings,zh-trad,疾風之翼
galvanize,jp-kana,エレキスキン
galvanize,jp-kanji,エレキスキン
galvanize,en,Galvanize
galvanize,fr,Peau Électrique
galvanize,it,Pellelettro
galvanize,de,Elektrohaut
galvanize,es,Piel Eléctrica
galvanize,ko,일렉트릭스킨
galvanize,zh-simp,电气皮肤
galvanize,zh-trad,電氣皮膚
gluttony,jp-kana,くいしんぼう
gluttony,jp-kanji,くいしんぼう
gluttony,en,Gluttony
gluttony,fr,Gloutonnerie
gluttony,it,Voracità
gluttony,de,Völlerei
gluttony,es,Gula
gluttony,ko,먹보
gluttony,zh-simp,贪吃鬼
gluttony,zh-trad,貪吃鬼
good-as-gold,jp-kana,おうごんのからだ
good-as-gold,jp-kanji,おうごんのからだ
good-as-gold,en,Good as Gold
good-as-gold,fr,Corps en Or
good-as-gold,it,Corpo Aureo
good-as-gold,de,Goldkörper
good-as-gold,es,Cuerpo Áureo
good-as-gold,ko,황금몸
good-as-gold,zh-simp,黄金之躯
good-as-gold,zh-trad,黃金之軀
gooey,jp-kana,ぬめぬめ
gooey,jp-kanji,ぬめぬめ
gooey,en,Gooey
gooey,fr,Poisseux
gooey,it,Viscosità
gooey,de,Viskosität
gooey,es,Baba
gooey,ko,미끈미끈
gooey,zh-simp,黏滑
gooey,zh-trad,黏滑
gorilla-tactics,jp-kana,ごりむちゅう
gorilla-tactics,jp-kanji,ごりむちゅう
gorilla-tactics,en,Gorilla Tactics
gorilla-tactics,fr,Entêtement
gorilla-tactics,it,Vigorilla
gorilla-tactics,de,Affenfokus
gorilla-tactics,es,Monotema
gorilla-tactics,ko,무아지경
gorilla-tactics,zh-simp,一猩一意
gorilla-tactics,zh-trad,一猩一意
grass-pelt,jp-kana,くさのけがわ
grass-pelt,jp-kanji,くさのけがわ
grass-pelt,en,Grass Pelt
grass-pelt,fr,Toison Herbue
grass-pelt,it,Peloderba
grass-pelt,de,Pflanzenpelz
grass-pelt,es,Manto Frondoso
grass-pelt,ko,풀모피
grass-pelt,zh-simp,草之毛皮
grass-pelt,zh-trad,草之毛皮
grassy-surge,jp-kana,グラスメイカー
grassy-surge,jp-kanji,グラスメイカー
grassy-surge,en,Grassy Surge
grassy-surge,fr,Créa-Herbe
grassy-surge,it,Erbogenesi
grassy-surge,de,Gras-Erzeuger
grassy-surge,es,Herbogénesis
grassy-surge,ko,그래스메이커
grassy-surge,zh-simp,青草制造者
grassy-surge,zh-trad,青草製造者
grim-neigh,jp-kana,くろのいななき
grim-neigh,jp-kanji,くろのいななき
grim-neigh,en,Grim Neigh
grim-neigh,fr,Sombre Ruade
grim-neigh,it,Nitrito Nero
grim-neigh,de,Dunkles Wiehern
grim-neigh,es,Relincho Negro
grim-neigh,ko,흑의울음
grim-neigh,zh-simp,漆黑嘶鸣
grim-neigh,zh-trad,漆黑嘶鳴
guard-dog,jp-kana,ばんけん
guard-dog,jp-kanji,ばんけん
guard-dog,en,Guard Dog
guard-dog,fr,Chien de Garde
guard-dog,it,Cane da Guardia
guard-dog,de,Wachhund
guard-dog,es,Perro Guardián
guard-dog,ko,파수견
guard-dog,zh-simp,看门犬
guard-dog,zh-trad,看門犬
gulp-missile,jp-kana,うのミサイル
gulp-missile,jp-kanji,うのミサイル
gulp-missile,en,Gulp Missile
gulp-missile,fr,Dégobage
gulp-missile,it,Inghiottimissile
gulp-missile,de,Würggeschoss
gulp-missile,es,Tragamisil
gulp-missile,ko,그대로꿀꺽미사일
gulp-missile,zh-simp,一口导弹
gulp-missile,zh-trad,一口飛彈
guts,jp-kana,こんじょう
guts,jp-kanji,こんじょう
guts,en,Guts
guts,fr,Cran
guts,it,Dentistretti
guts,de,Adrenalin
guts,es,Agallas
guts,ko,근성
guts,zh-simp,毅力
guts,zh-trad,毅力
hadron-engine,jp-kana,ハドロンエンジン
hadron-engine,jp-kanji,ハドロンエンジン
hadron-engine,en,Hadron Engine
hadron-engine,fr,Moteur à Hadrons
hadron-engine,it,Motore Adronico
hadron-engine,de,Hadronen-Motor
hadron-engine,es,Motor Hadrónico
hadron-engine,ko,하드론엔진
hadron-engine,zh-simp,强子引擎
hadron-engine,zh-trad,強子引擎
harvest,jp-kana,しゅうかく
harvest,jp-kanji,しゅうかく
harvest,en,Harvest
harvest,fr,Récolte
harvest,it,Coglibacche
harvest,de,Reiche Ernte
harvest,es,Cosecha
harvest,ko,수확
harvest,zh-simp,收获
harvest,zh-trad,收穫
healer,jp-kana,いやしのこころ
healer,jp-kanji,いやしのこころ
healer,en,Healer
healer,fr,Cœur Soin
healer,it,Curacuore
healer,de,Heilherz
healer,es,Alma Cura
healer,ko,치유의마음
healer,zh-simp,治愈之心
healer,zh-trad,治癒之心
heatproof,jp-kana,たいねつ
heatproof,jp-kanji,たいねつ
heatproof,en,Heatproof
heatproof,fr,Ignifugé
heatproof,it,Antifuoco
heatproof,de,Hitzeschutz
heatproof,es,Ignífugo
heatproof,ko,내열
heatproof,zh-simp,耐热
heatproof,zh-trad,耐熱
heavy-metal,jp-kana,ヘヴィメタル
heavy-metal,jp-kanji,ヘヴィメタル
heavy-metal,en,Heavy Metal
heavy-metal,fr,Heavy Metal
heavy-metal,it,Metalpesante
heavy-metal,de,Schwermetall
heavy-metal,es,Metal Pesado
heavy-metal,ko,헤비메탈
heavy-metal,zh-simp,重金属
heavy-metal,zh-trad,重金屬
honey-gather,jp-kana,みつあつめ
honey-gather,jp-kanji,みつあつめ
honey-gather,en,Honey Gather
honey-gather,fr,Cherche Miel
honey-gather,it,Mielincetta
honey-gather,de,Honigmaul
honey-gather,es,Recogemiel
honey-gather,ko,꿀모으기
honey-gather,zh-simp,采蜜
honey-gather,zh-trad,採蜜
hospitality,jp-kana,おもてなし
hospitality,jp-kanji,おもてなし
hospitality,en,Hospitality
hospitality,fr,Aux Petits Soins
hospitality,it,Ospitalità
hospitality,de,Gastlichkeit
hospitality,es,Hospitalidad
hospitality,ko,대접
hospitality,zh-simp,款待
hospitality,zh-trad,款待
huge-power,jp-kana,ちからもち
huge-power,jp-kanji,ちからもち
huge-power,en,Huge Power
huge-power,fr,Coloforce
huge-power,it,Macroforza
huge-power,de,Kraftkoloss
huge-power,es,Potencia
huge-power,ko,천하장사
huge-power,zh-simp,大力士
huge-power,zh-trad,大力士
hunger-switch,jp-kana,はらぺこスイッチ
hunger-switch,jp-kanji,はらぺこスイッチ
hunger-switch,en,Hunger Switch
hunger-switch,fr,Déclic Fringale
hunger-switch,it,Pancialterna
hunger-switch,de,Heißhunger
hunger-switch,es,Mutapetito
hunger-switch,ko,꼬르륵스위치
hunger-switch,zh-simp,饱了又饿
hunger-switch,zh-trad,飽了又餓
hustle,jp-kana,はりきり
hustle,jp-kanji,はりきり
hustle,en,Hustle
hustle,fr,Agitation
hustle,it,Tuttafretta
hustle,de,Übereifer
hustle,es,Entusiasmo
hustle,ko,의욕
hustle,zh-simp,活力
hustle,zh-trad,活力
hydration,jp-kana,うるおいボディ
hydration,jp-kanji,うるおいボディ
hydration,en,Hydration
hydration,fr,Hydratation
hydration,it,Idratazione
hydration,de,Hydration
hydration,es,Hidratación
hydration,ko,촉촉바디
hydration,zh-simp,湿润之躯
hydration,zh-trad,濕潤之軀
hyper-cutter,jp-kana,かいりきバサミ
hyper-cutter,jp-kanji,かいりきバサミ
hyper-cutter,en,Hyper Cutter
hyper-cutter,fr,Hyper Cutter
hyper-cutter,it,Ipertaglio
hyper-cutter,de,Scherenmacht
hyper-cutter,es,Corte Fuerte
hyper-cutter,ko,괴력집게
hyper-cutter,zh-simp,怪力钳
hyper-cutter,zh-trad,怪力鉗
ice-body,jp-kana,アイスボディ
ice-body,jp-kanji,アイスボディ
ice-body,en,Ice Body
ice-body,fr,Corps Gel
ice-body,it,Corpogelo
ice-body,de,Eishaut
ice-body,es,Gélido
ice-body,ko,아이스바디
ice-body,zh-simp,冰冻之躯
ice-body,zh-trad,冰凍之軀
ice-face,jp-kana,アイスフェイス
ice-face,jp-kanji,アイスフェイス
ice-face,en,Ice Face
ice-face,fr,Tête de Gel
ice-face,it,Gelofaccia
ice-face,de,Tiefkühlkopf
ice-face,es,Cara de Hielo
ice-face,ko,아이스페이스
ice-face,zh-simp,结冻头
ice-face,zh-trad,結凍頭
ice-scales,jp-kana,こおりのりんぷん
ice-scales,jp-kanji,こおりのりんぷん
ice-scales,en,Ice Scales
ice-scales,fr,Écailles Glacées
ice-scales,it,Geloscaglie
ice-scales,de,Eisflügelstaub
ice-scales,es,Escama de Hielo
ice-scales,ko,얼음인분
ice-scales,zh-simp,冰鳞粉
ice-scales,zh-trad,冰鱗粉
illuminate,jp-kana,はっこう
illuminate,jp-kanji,はっこう
illuminate,en,Illuminate
illuminate,fr,Luminescence
illuminate,it,Risplendi
illuminate,de,Erleuchtung
illuminate,es,Iluminación
illuminate,ko,발광
illuminate,zh-simp,发光
illuminate,zh-trad,發光
illusion,jp-kana,イリュージョン
illusion,jp-kanji,イリュージョン
illusion,en,Illusion
illusion,fr,Illusion
illusion,it,Illusione
illusion,de,Trugbild
illusion,es,Ilusión
illusion,ko,일루전
illusion,zh-simp,幻觉
illusion,zh-trad,幻覺
immunity,jp-kana,めんえき
immunity,jp-kanji,めんえき
immunity,en,Immunity
immunity,fr,Vaccin
immunity,it,Immunità
immunity,de,Immunität
immunity,es,Inmunidad
immunity,ko,면역
immunity,zh-simp,免疫
immunity,zh-trad,免疫
imposter,jp-kana,かわりもの
imposter,jp-kanji,かわりもの
imposter,en,Imposter
imposter,fr,Imposteur
imposter,it,Sosia
imposter,de,Doppelgänger
imposter,es,Impostor
imposter,ko,괴짜
imposter,zh-simp,变身者
imposter,zh-trad,變身者
infiltrator,jp-kana,すりぬけ
infiltrator,jp-kanji,すりぬけ
infiltrator,en,Infiltrator
infiltrator,fr,Infiltration
infiltrator,it,Intrapasso
infiltrator,de,Schwebedurch
infiltrator,es,Allanamiento
infiltrator,ko,틈새포착
infiltrator,zh-simp,穿透
infiltrator,zh-trad,穿透
innards-out,jp-kana,とびだすなかみ
innards-out,jp-kanji,とびだすなかみ
innards-out,en,Innards Out
innards-out,fr,Expuls’Organes
innards-out,it,Espellinterno
innards-out,de,Magenkrempler
innards-out,es,Revés
innards-out,ko,내용물분출
innards-out,zh-simp,飞出的内在物
innards-out,zh-trad,飛出的內在物
inner-focus,jp-kana,せいしんりょく
inner-focus,jp-kanji,せいしんりょく
inner-focus,en,Inner Focus
inner-focus,fr,Attention
inner-focus,it,Forza Interiore
inner-focus,de,Konzentrator
inner-focus,es,Fuerza Mental
inner-focus,ko,정신력
inner-focus,zh-simp,精神力
inner-focus,zh-trad,精神力
insomnia,jp-kana,ふみん
insomnia,jp-kanji,ふみん
insomnia,en,Insomnia
insomnia,fr,Insomnia
insomnia,it,Insonnia
insomnia,de,Insomnia
insomnia,es,Insomnio
insomnia,ko,불면
insomnia,zh-simp,不眠
insomnia,zh-trad,不眠
intimidate,jp-kana,いかく
intimidate,jp-kanji,いかく
intimidate,en,Intimidate
intimidate,fr,Intimidation
intimidate,it,Prepotenza
intimidate,de,Bedroher
intimidate,es,Intimidación
intimidate,ko,위협
intimidate,zh-simp,威吓
intimidate,zh-trad,威嚇
intrepid-sword,jp-kana,ふとうのけん
intrepid-sword,jp-kanji,ふとうのけん
intrepid-sword,en,Intrepid Sword
intrepid-sword,fr,Lame Indomptable
intrepid-sword,it,Spada Indomita
intrepid-sword,de,Kühnes Schwert
intrepid-sword,es,Espada Indómita
intrepid-sword,ko,불요의검
intrepid-sword,zh-simp,不挠之剑
intrepid-sword,zh-trad,不撓之劍
iron-barbs,jp-kana,てつのトゲ
iron-barbs,jp-kanji,てつのトゲ
iron-barbs,en,Iron Barbs
iron-barbs,fr,Épine de Fer
iron-barbs,it,Spineferrate
iron-barbs,de,Eisenstachel
iron-barbs,es,Punta Acero
iron-barbs,ko,철가시
iron-barbs,zh-simp,铁刺
iron-barbs,zh-trad,鐵刺
iron-fist,jp-kana,てつのこぶし
iron-fist,jp-kanji,てつのこぶし
iron-fist,en,Iron Fist
iron-fist,fr,Poing de Fer
iron-fist,it,Ferropugno
iron-fist,de,Eisenfaust
iron-fist,es,Puño Férreo
iron-fist,ko,철주먹
iron-fist,zh-simp,铁拳
iron-fist,zh-trad,鐵拳
justified,jp-kana,せいぎのこころ
justified,jp-kanji,せいぎのこころ
justified,en,Justified
justified,fr,Cœur Noble
justified,it,Giustizia
justified,de,Redlichkeit
justified,es,Justiciero
justified,ko,정의의마음
justified,zh-simp,正义之心
justified,zh-trad,正義之心
keen-eye,jp-kana,するどいめ
keen-eye,jp-kanji,するどいめ
keen-eye,en,Keen Eye
keen-eye,fr,Regard Vif
keen-eye,it,Sguardofermo
keen-eye,de,Adlerauge
keen-eye,es,Vista Lince
keen-eye,ko,날카로운눈
keen-eye,zh-simp,锐利目光
keen-eye,zh-trad,銳利目光
klutz,jp-kana,ぶきよう
klutz,jp-kanji,ぶきよう
klutz,en,Klutz
klutz,fr,Maladresse
klutz,it,Impaccio
klutz,de,Tollpatsch
klutz,es,Zoquete
klutz,ko,서투름
klutz,zh-simp,笨拙
klutz,zh-trad,笨拙
leaf-guard,jp-kana,リーフガード
leaf-guard,jp-kanji,リーフガード
leaf-guard,en,Leaf Guard
leaf-guard,fr,Feuille Garde
leaf-guard,it,Fogliamanto
leaf-guard,de,Floraschild
leaf-guard,es,Defensa Hoja
leaf-guard,ko,리프가드
leaf-guard,zh-simp,叶子防守
leaf-guard,zh-trad,葉子防守
levitate,jp-kana,ふゆう
levitate,jp-kanji,ふゆう
levitate,en,Levitate
levitate,fr,Lévitation
levitate,it,Levitazione
levitate,de,Schwebe
levitate,es,Levitación
levitate,ko,부유
levitate,zh-simp,飘浮
levitate,zh-trad,飄浮
libero,jp-kana,リベロ
libero,jp-kanji,リベロ
libero,en,Libero
libero,fr,Libéro
libero,it,Libero
libero,de,Libero
libero,es,Líbero
libero,ko,리베로
libero,zh-simp,自由者
libero,zh-trad,自由者
light-metal,jp-kana,ライトメタル
light-metal,jp-kanji,ライトメタル
light-metal,en,Light Metal
light-metal,fr,Light Metal
light-metal,it,Metalleggero
light-metal,de,Leichtmetall
light-metal,es,Metal Liviano
light-metal,ko,라이트메탈
light-metal,zh-simp,轻金属
light-metal,zh-trad,輕金屬
lightning-rod,jp-kana,ひらいしん
lightning-rod,jp-kanji,ひらいしん
lightning-rod,en,Lightning Rod
lightning-rod,fr,Paratonnerre
lightning-rod,it,Parafulmine
lightning-rod,de,Blitzfänger
lightning-rod,es,Pararrayos
lightning-rod,ko,피뢰침
lightning-rod,zh-simp,避雷针
lightning-rod,zh-trad,避雷針
limber,jp-kana,じゅうなん
limber,jp-kanji,じゅうなん
limber,en,Limber
limber,fr,Échauffement
limber,it,Scioltezza
limber,de,Flexibilität
limber,es,Flexibilidad
limber,ko,유연
limber,zh-simp,柔软
limber,zh-trad,柔軟
lingering-aroma,jp-kana,とれないにおい
lingering-aroma,jp-kanji,とれないにおい
lingering-aroma,en,Lingering Aroma
lingering-aroma,fr,Odeur Tenace
lingering-aroma,it,Odore Tenace
lingering-aroma,de,Duftschwade
lingering-aroma,es,Olor Persistente
lingering-aroma,ko,가시지않는향기
lingering-aroma,zh-simp,甩不掉的气味
lingering-aroma,zh-trad,甩不掉的氣味
liquid-ooze,jp-kana,ヘドロえき
liquid-ooze,jp-kanji,ヘドロえき
liquid-ooze,en,Liquid Ooze
liquid-ooze,fr,Suintement
liquid-ooze,it,Melma
liquid-ooze,de,Kloakensoße
liquid-ooze,es,Viscosecreción
liquid-ooze,ko,해감액
liquid-ooze,zh-simp,污泥浆
liquid-ooze,zh-trad,污泥漿
liquid-voice,jp-kana,うるおいボイス
liquid-voice,jp-kanji,うるおいボイス
liquid-voice,en,Liquid Voice
liquid-voice,fr,Hydrata-Son
liquid-voice,it,Idrovoce
liquid-voice,de,Plätscherstimme
liquid-voice,es,Voz Fluida
liquid-voice,ko,촉촉보이스
liquid-voice,zh-simp,湿润之声
liquid-voice,zh-trad,濕潤之聲
long-reach,jp-kana,えんかく
long-reach,jp-kanji,えんかく
long-reach,en,Long Reach
long-reach,fr,Longue Portée
long-reach,it,Distacco
long-reach,de,Langstrecke
long-reach,es,Remoto
long-reach,ko,원격
long-reach,zh-simp,远隔
long-reach,zh-trad,遠隔
magic-bounce,jp-kana,マジックミラー
magic-bounce,jp-kanji,マジックミラー
magic-bounce,en,Magic Bounce
magic-bounce,fr,Miroir Magik
magic-bounce,it,Magispecchio
magic-bounce,de,Magiespiegel
magic-bounce,es,Espejo Mágico
magic-bounce,ko,매직미러
magic-bounce,zh-simp,魔法镜
magic-bounce,zh-trad,魔法鏡
magic-guard,jp-kana,マジックガード
magic-guard,jp-kanji,マジックガード
magic-guard,en,Magic Guard
magic-guard,fr,Garde Magik
magic-guard,it,Magicscudo
magic-guard,de,Magieschild
magic-guard,es,Muro Mágico
magic-guard,ko,매직가드
magic-guard,zh-simp,魔法防守
magic-guard,zh-trad,魔法防守
magician,jp-kana,マジシャン
magician,jp-kanji,マジシャン
magician,en,Magician
magician,fr,Magicien
magician,it,Prestigiatore
magician,de,Zauberer
magician,es,Prestidigitador
magician,ko,매지션
magician,zh-simp,魔术师
magician,zh-trad,魔術師
magma-armor,jp-kana,マグマのよろい
magma-armor,jp-kanji,マグマのよろい
magma-armor,en,Magma Armor
magma-armor,fr,Armumagma
magma-armor,it,Magmascudo
magma-armor,de,Magmapanzer
magma-armor,es,Escudo Magma
magma-armor,ko,마그마의무장
magma-armor,zh-simp,熔岩铠甲
magma-armor,zh-trad,熔岩鎧甲
magnet-pull,jp-kana,じりょく
magnet-pull,jp-kanji,じりょく
magnet-pull,en,Magnet Pull
magnet-pull,fr,Magnépiège
magnet-pull,it,Magnetismo
magnet-pull,de,Magnetfalle
magnet-pull,es,Imán
magnet-pull,ko,자력
magnet-pull,zh-simp,磁力
magnet-pull,zh-trad,磁力
marvel-scale,jp-kana,ふしぎなうろこ
marvel-scale,jp-kanji,ふしぎなうろこ
marvel-scale,en,Marvel Scale
marvel-scale,fr,Écaille Spéciale
marvel-scale,it,Pelledura
marvel-scale,de,Notschutz
marvel-scale,es,Escama Especial
marvel-scale,ko,이상한비늘
marvel-scale,zh-simp,神奇鳞片
marvel-scale,zh-trad,神奇鱗片
mega-launcher,jp-kana,メガランチャー
mega-launcher,jp-kanji,メガランチャー
mega-launcher,en,Mega Launcher
mega-launcher,fr,Méga Blaster
mega-launcher,it,Megalancio
mega-launcher,de,Megawumme
mega-launcher,es,Megadisparador
mega-launcher,ko,메가런처
mega-launcher,zh-simp,超级发射器
mega-launcher,zh-trad,超級發射器
merciless,jp-kana,ひとでなし
merciless,jp-kanji,ひとでなし
merciless,en,Merciless
merciless,fr,Cruauté
merciless,it,Spietatezza
merciless,de,Quälerei
merciless,es,Ensañamiento
merciless,ko,무도한행동
merciless,zh-simp,不仁不义
merciless,zh-trad,不仁不義
mimicry,jp-kana,ぎたい
mimicry,jp-kanji,ぎたい
mimicry,en,Mimicry
mimicry,fr,Mimétisme
mimicry,it,Mimetismo
mimicry,de,Mimese
mimicry,es,Mimetismo
mimicry,ko,의태
mimicry,zh-simp,拟态
mimicry,zh-trad,擬態
minds-eye,jp-kana,しんがん
minds-eye,jp-kanji,しんがん
minds-eye,en,Mind’s Eye
minds-eye,fr,Œil Révélateur
minds-eye,it,Occhio Interiore
minds-eye,de,Geistiges Auge
minds-eye,es,Ojo Mental
minds-eye,ko,심안
minds-eye,zh-simp,心眼
minds-eye,zh-trad,心眼
minus,jp-kana,マイナス
minus,jp-kanji,マイナス
minus,en,Minus
minus,fr,Moins
minus,it,Meno
minus,de,Minus
minus,es,Menos
minus,ko,마이너스
minus,zh-simp,负电
minus,zh-trad,負電
mirror-armor,jp-kana,ミラーアーマー
mirror-armor,jp-kanji,ミラーアーマー
mirror-armor,en,Mirror Armor
mirror-armor,fr,Armure Miroir
mirror-armor,it,Blindospecchio
mirror-armor,de,Spiegelrüstung
mirror-armor,es,Coraza Reflejo
mirror-armor,ko,미러아머
mirror-armor,zh-simp,镜甲
mirror-armor,zh-trad,鏡甲
misty-surge,jp-kana,ミストメイカー
misty-surge,jp-kanji,ミストメイカー
misty-surge,en,Misty Surge
misty-surge,fr,Créa-Brume
misty-surge,it,Nebbiogenesi
misty-surge,de,Nebel-Erzeuger
misty-surge,es,Nebulogénesis
misty-surge,ko,미스트메이커
misty-surge,zh-simp,薄雾制造者
misty-surge,zh-trad,薄霧製造者
mold-breaker,jp-kana,かたやぶり
mold-breaker,jp-kanji,かたやぶり
mold-breaker,en,Mold Breaker
mold-breaker,fr,Brise Moule
mold-breaker,it,Rompiforma
mold-breaker,de,Überbrückung
mold-breaker,es,Rompemoldes
mold-breaker,ko,틀깨기
mold-breaker,zh-simp,破格
mold-breaker,zh-trad,破格
moody,jp-kana,ムラっけ
moody,jp-kanji,ムラっけ
moody,en,Moody
moody,fr,Lunatique
moody,it,Altalena
moody,de,Gefühlswippe
moody,es,Veleta
moody,ko,변덕쟁이
moody,zh-simp,心情不定
moody,zh-trad,心情不定
motor-drive,jp-kana,でんきエンジン
motor-drive,jp-kanji,でんきエンジン
motor-drive,en,Motor Drive
motor-drive,fr,Motorisé
motor-drive,it,Elettrorapid
motor-drive,de,Starthilfe
motor-drive,es,Electromotor
motor-drive,ko,전기엔진
motor-drive,zh-simp,电气引擎
motor-drive,zh-trad,電氣引擎
moxie,jp-kana,じしんかじょう
moxie,jp-kanji,じしんかじょう
moxie,en,Moxie
moxie,fr,Impudence
moxie,it,Arroganza
moxie,de,Hochmut
moxie,es,Autoestima
moxie,ko,자기과신
moxie,zh-simp,自信过度
moxie,zh-trad,自信過度
multiscale,jp-kana,マルチスケイル
multiscale,jp-kanji,マルチスケイル
multiscale,en,Multiscale
multiscale,fr,Multiécaille
multiscale,it,Multisquame
multiscale,de,Multischuppe
multiscale,es,Multiescamas
multiscale,ko,멀티스케일
multiscale,zh-simp,多重鳞片
multiscale,zh-trad,多重鱗片
multitype,jp-kana,マルチタイプ
multitype,jp-kanji,マルチタイプ
multitype,en,Multitype
multitype,fr,Multi-Type
multitype,it,Multitipo
multitype,de,Variabilität
multitype,es,Multitipo
multitype,ko,멀티타입
multitype,zh-simp,多属性
multitype,zh-trad,多屬性
mummy,jp-kana,ミイラ
mummy,jp-kanji,ミイラ
mummy,en,Mummy
mummy,fr,Momie
mummy,it,Mummia
mummy,de,Mumie
mummy,es,Momia
mummy,ko,미라
mummy,zh-simp,木乃伊
mummy,zh-trad,木乃伊
mycelium-might,jp-kana,きんしのちから
mycelium-might,jp-kanji,きんしのちから
mycelium-might,en,Mycelium Might
mycelium-might,fr,Force Fongique
mycelium-might,it,Micoforza
mycelium-might,de,Myzelienkraft
